ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.CALL_PHONE]-[android.permission.VIBRATE]-[android.permission.RECORD_AUDIO]-,0,1
startActivity,com/chartboost/sdk/Chartboost,com/chartboost/sdk/CBImpressionActivity,external,0,0,1
startActivity,com/chartboost/sdk/impl/m,android.intent.action.VIEW,external,24,27,6
startActivity,com/chartboost/sdk/impl/m,android.intent.action.VIEW,external,24,27,6
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,30,77,13
startActivity,com/google/ads/AdActivity,Tried to launch empty intent.,external,30,77,13
startActivity,com/google/ads/internal/AdWebView$1,android.intent.action.VIEW,external,42,109,15
startActivity,com/google/ads/internal/k$a$3,android.intent.action.SEND,external,46,118,21
startActivity,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,67,132,38
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,67,132,38
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.VIEW,external,67,132,38
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.VIEW,external,67,132,38
startActivity,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,67,132,38
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,67,132,38
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.EDIT,external,67,132,38
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.EDIT,external,67,132,38
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.media.action.IMAGE_CAPTURE,external,67,132,38
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.media.action.IMAGE_CAPTURE,external,67,132,38
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.PICK,external,67,132,38
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.PICK,external,67,132,38
startActivity,com/inmobi/androidsdk/impl/imai/IMAIUtility,com/inmobi/androidsdk/IMBrowserActivity,external,67,132,38
startActivity,com/inmobi/androidsdk/impl/imai/IMAIUtility,android.intent.action.VIEW,external,67,132,38
startActivity,com/inmobi/re/container/IMWebView,android.intent.action.VIEW,external,122,207,46
startActivity,com/inmobi/re/container/IMWebView,android.intent.action.VIEW,external,122,207,48
startActivity,com/inmobi/re/container/mraidimpl/MRAIDBasic$a,android.intent.action.VIEW,external,122,211,52
startActivity,com/inmobi/re/container/mraidimpl/MRAIDBasic,com/inmobi/androidsdk/IMBrowserActivity,external,122,211,52
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,122,211,61
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,122,211,61
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.CALL,external,122,211,61
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,122,211,61
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.SEND,external,122,211,61
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.VIEW,external,122,211,61
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,124,211,61
startActivity,org/cocos2dx/lib/DDAdmob$2,android.intent.action.VIEW,external,126,224,86
startActivity,org/cocos2dx/lib/DDAdmob$2,android.intent.action.VIEW,external,126,224,86
startActivity,org/cocos2dx/lib/DDAdmob$2,android.intent.action.VIEW,external,126,224,86
startActivity,org/cocos2dx/lib/DDAdmob$5,android.intent.action.VIEW,external,126,224,88
startActivity,org/cocos2dx/lib/DDAdmob$5,android.intent.action.VIEW,external,126,224,88
startActivity,org/cocos2dx/lib/DDAdmob$5,android.intent.action.VIEW,external,126,224,88
startActivity,org/cocos2dx/lib/DDAdmob$8,android.intent.action.SEND,external,126,229,90
